date,delay,departure time,actual arrival time,scheduled arrival time
Monday 19 February,17.0,07:08,08:07,07:50
Monday 19 February,16.0,07:18,08:09,07:53
Friday 23 February,15.0,09:56,10:38,10:23
Friday 23 February,15.0,15:40,16:34,16:19
Wednesday 14 February,26.0,16:36,17:29,17:03
Wednesday 14 February,29.0,16:40,17:48,17:19
Wednesday 14 February,19.0,16:48,17:34,17:15
Friday 09 February,16.0,17:06,17:48,17:32
Friday 09 February,20.0,17:10,18:06,17:46
Wednesday 14 February,27.0,17:22,18:18,17:51
Wednesday 14 February,31.0,17:32,18:27,17:56
Sunday 18 February,22.0,17:33,18:26,18:04
Friday 09 February,25.0,17:36,18:27,18:02
Friday 09 February,19.0,17:42,18:41,18:22
Friday 09 February,27.0,17:50,18:52,18:25
Sunday 18 February,21.0,18:04,18:55,18:34
Friday 09 February,24.0,18:06,18:56,18:32
Friday 09 February,20.0,18:10,19:12,18:52
Sunday 11 February,16.0,18:18,19:06,18:50
Friday 09 February,22.0,18:20,19:09,18:47
Wednesday 14 February,19.0,18:36,19:20,19:01
Wednesday 14 February,27.0,18:42,19:48,19:21
Friday 09 February,19.0,18:46,19:31,19:12
Thursday 22 February,19.0,19:02,19:45,19:26
Friday 09 February,16.0,19:06,19:51,19:35
Friday 09 February,17.0,19:48,20:32,20:15
Tuesday 27 February,15.0,22:04,22:46,22:31
